CONTRACT_ID|PLAN_ID|SEGMENT_ID|COVERAGE_LEVEL|TIER|DAYS_SUPPLY|COST_TYPE_PREF|COST_AMT_PREF|COST_MIN_AMT_PREF|COST_MAX_AMT_PREF|COST_TYPE_NONPREF|COST_AMT_NONPREF|COST_MIN_AMT_NONPREF|COST_MAX_AMT_NONPREF|COST_TYPE_MAIL_PREF|COST_AMT_MAIL_PREF|COST_MIN_AMT_MAIL_PREF|COST_MAX_AMT_MAIL_PREF|COST_TYPE_MAIL_NONPREF|COST_AMT_MAIL_NONPREF|COST_MIN_AMT_MAIL_NONPREF|COST_MAX_AMT_MAIL_NONPREF|TIER_SPECIALTY_YN|DED_APPLIES_YN
H1001|001|000|0|1|1|1|2.96|||1|4.00|||1|2.52|||1|3.40|||N|N
H1001|001|000|0|1|2|1|8.88|||1|11.99|||1|7.55|||1|10.21|||N|N
H1001|001|000|0|1|4|1|5.92|||1|7.99|||1|5.03|||1|6.81|||N|N
H1001|001|000|0|2|1|1|17.76|||1|23.98|||1|15.10|||1|20.42|||N|N
H1001|001|000|0|2|2|1|53.28|||1|71.93|||1|45.29|||1|61.27|||N|N
H1001|001|000|0|2|4|1|35.52|||1|47.95|||1|30.19|||1|40.85|||N|N
H1001|001|000|0|3|1|1|66.60|||1|89.91|||1|56.61|||1|76.59|||N|Y
H1001|001|000|0|3|2|1|199.80|||1|269.73|||1|169.83|||1|229.77|||N|Y
H1001|001|000|0|3|4|1|133.20|||1|179.82|||1|113.22|||1|153.18|||N|Y
H1001|001|000|0|4|1|1|140.60|||1|189.81|||1|119.51|||1|161.69|||N|Y
H1001|001|000|0|4|2|1|421.80|||1|569.43|||1|358.53|||1|485.07|||N|Y
H1001|001|000|0|4|4|1|281.20|||1|379.62|||1|239.02|||1|323.38|||N|Y
H1001|001|000|0|5|1|2|33.0|177.60|1154.40|2|33.0|239.76|1558.44|2|33.0|150.96|981.24|2|33.0|204.24|1327.56|Y|Y
H1001|001|000|0|5|2|2|33.0|532.80|3463.20|2|33.0|719.28|4675.32|2|33.0|452.88|2943.72|2|33.0|612.72|3982.68|Y|Y
H1001|001|000|0|5|4|2|33.0|355.20|2308.80|2|33.0|479.52|3116.88|2|33.0|301.92|1962.48|2|33.0|408.48|2655.12|Y|Y
H1001|001|000|1|1|1|1|2.96|||1|4.00|||1|2.52|||1|3.40|||N|N
H1001|001|000|1|1|2|1|8.88|||1|11.99|||1|7.55|||1|10.21|||N|N
H1001|001|000|1|1|4|1|5.92|||1|7.99|||1|5.03|||1|6.81|||N|N
H1001|001|000|1|2|1|1|17.76|||1|23.98|||1|15.10|||1|20.42|||N|N
H1001|001|000|1|2|2|1|53.28|||1|71.93|||1|45.29|||1|61.27|||N|N
H1001|001|000|1|2|4|1|35.52|||1|47.95|||1|30.19|||1|40.85|||N|N
H1001|001|000|1|3|1|1|66.60|||1|89.91|||1|56.61|||1|76.59|||N|Y
H1001|001|000|1|3|2|1|199.80|||1|269.73|||1|169.83|||1|229.77|||N|Y
H1001|001|000|1|3|4|1|133.20|||1|179.82|||1|113.22|||1|153.18|||N|Y
H1001|001|000|1|4|1|1|140.60|||1|189.81|||1|119.51|||1|161.69|||N|Y
H1001|001|000|1|4|2|1|421.80|||1|569.43|||1|358.53|||1|485.07|||N|Y
H1001|001|000|1|4|4|1|281.20|||1|379.62|||1|239.02|||1|323.38|||N|Y
H1001|001|000|1|5|1|2|33.0|177.60|1154.40|2|33.0|239.76|1558.44|2|33.0|150.96|981.24|2|33.0|204.24|1327.56|Y|Y
