FORMULARY_ID|FORMULARY_VERSION|CONTRACT_YEAR|RXCUI|NDC|TIER_LEVEL_VALUE|QUANTITY_LIMIT_YN|QUANTITY_LIMIT_AMOUNT|QUANTITY_LIMIT_DAYS|PRIOR_AUTHORIZATION_YN|STEP_THERAPY_YN|SELECTED_DRUG_YN
20250|2|2025|200000|10000-1000-10|3|N|||Y|N|N
20250|2|2025|200001|10007-1013-13|1|N|||N|N|N
20250|2|2025|200002|10014-1026-16|3|N|||N|N|N
20250|2|2025|200003|10021-1039-19|2|N|||N|N|N
20250|2|2025|200004|10028-1052-22|2|N|||N|N|N
20250|2|2025|200005|10035-1065-25|1|N|||N|N|N
20250|2|2025|200006|10042-1078-28|2|Y|90.0|90|Y|N|N
20250|2|2025|200007|10049-1091-31|2|N|||N|N|N
20250|2|2025|200008|10056-1104-34|1|N|||N|N|N
20250|2|2025|200009|10063-1117-37|3|Y|90.0|30|N|N|N
20250|2|2025|200010|10070-1130-40|3|Y|30.0|90|N|N|N
20250|2|2025|200011|0077-1143-43|1|N|||N|N|N
20250|2|2025|200012|10084-1156-46|1|N|||Y|N|N
20250|2|2025|200013|10091-1169-49|3|N|||N|N|N
20250|2|2025|200014|10098-1182-52|5|N|||N|N|N
20250|2|2025|200015|10105-1195-55|1|N|||N|N|N
20250|2|2025|200016|10112-1208-58|4|N|||N|N|N
20250|2|2025|200017|10119-1221-61|1|N|||N|N|N
20250|2|2025|200018|10126-1234-64|5|N|||Y|N|Y
20250|2|2025|200019|10133-1247-67|4|Y|60.0|90|N|Y|N
20250|2|2025|200020|10140-1260-70|4|N|||Y|N|N
20250|2|2025|200021|10147-1273-73|2|N|||N|N|N
20250|2|2025|200022|10154-1286-76|2|Y|60.0|30|N|N|N
20250|2|2025|200023|10161-1299-79|3|N|||Y|N|N
20250|2|2025|200024|10168-1312-82|3|N|||Y|Y|N
20250|2|2025|200025|10175-1325-85|3|N|||N|Y|N
20250|2|2025|200026|10182-1338-88|1|N|||N|N|N
20250|2|2025|200027|10189-1351-91|3|N|||Y|N|N
20250|2|2025|200028|10196-1364-94|4|Y|30.0|30|N|N|N
20250|2|2025|200029|10203-377-97|3|N|||N|N|N
20250|2|2025|200030|10210-1390-11|1|N|||N|Y|N
20250|2|2025|200031|10217-1403-14|1|N|||Y|N|N
20250|2|2025|200032|10224-1416-17|2|Y|30.0|90|N|N|N
20250|2|2025|200033|10231-1429-20|5|N|||N|N|N
20250|2|2025|200034|10238-1442-23|5|N|||N|N|N
20250|2|2025|200035|10245-1455-26|5|N|||N|N|N
20250|2|2025|200036|10252-1468-29|5|N|||N|N|N
20250|2|2025|200037|10259-1481-32|1|N|||N|N|N
20250|2|2025|200038|10266-1494-35|1|Y|60.0|30|N|N|N
20250|2|2025|200039|10273-1507-38|1|N|||N|N|N
20250|2|2025|200040|10280-1520-41|1|Y|60.0|30|N|N|N
20250|2|2025|200041|10287-1533-44|3|N|||N|N|N
20250|2|2025|200042|10294-1546-47|1|Y|30.0|30|N|N|N
20250|2|2025|200043|10301-1559-50|3|Y|180.0|30|N|N|N
20250|2|2025|200044|10308-1572-53|1|N|||N|N|N
20250|2|2025|200045|10315-1585-56|2|N|||Y|N|N
20250|2|2025|200046|10322-1598-59|1|N|||Y|N|N
20250|2|2025|200047|10329-1611-62|4|N|||N|N|N
20250|2|2025|200048|10336-1624-65|1|N|||N|N|N
20250|2|2025|200049|10343-1637-68|1|N|||N|N|N
20250|2|2025|200050|10350-1650-71|4|Y|30.0|30|Y|N|N
20250|2|2025|200051|10357-1663-74|4|N|||N|N|N
20250|2|2025|200052|10364-1676-77|2|N|||N|N|N
20250|2|2025|200053|10371-1689-0|2|Y|60.0|90|N|N|N
20250|2|2025|200054|10378-1702-83|1|N|||N|N|N
20250|2|2025|200055|10385-1715-86|1|N|||N|N|N
20250|2|2025|200056|10392-1728-89|2|N|||N|N|N
20250|2|2025|200057|10399-1741-92|2|Y|120.0|30|N|N|N
