rxcui,name,source,fetched_at
200010,Telmisarox 20 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200011,Ursodiol 20 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200020,Elvatinib 25 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200021,Fenoxadil 25 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200030,Pravastene 25 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200031,Quetiaprin 25 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200040,Amlodrine 40 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200041,Benzatide 40 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200043,Dexoprofen 40 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200050,Lansoprine 40 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200060,Valcyclor 40 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200061,Warfarixin 40 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200070,Glimeprost 50 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200101,Olanzepine 75 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200132,Valcyclor 100 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200163,Dexoprofen 250 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200194,Lansoprine 500 MG oral solution,synthetic,2025-02-01T00:00:00+00:00
200225,Sitaglinor 5 MG/ML oral solution,synthetic,2025-02-01T00:00:00+00:00
200256,Amlodrine 2.5 MG oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200287,Hydralium 5 MG oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200318,Pravastene 10 MG oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200349,Warfarixin 20 MG oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200380,Elvatinib 40 MG oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200411,Metfornix 50 MG oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200442,Telmisarox 75 MG oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200473,Benzatide 200 MG oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200504,Irbesartil 250 MG oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200566,Xylometrin 5 MG/ML oral delayed release capsule,synthetic,2025-02-01T00:00:00+00:00
200597,Fenoxadil 2.5 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200628,Naltrexil 5 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200659,Ursodiol 10 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200690,Carvistan 25 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200721,Ketorolan 40 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200752,Rosuvadex 50 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200783,Zafirlukan 75 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200814,Glimeprost 200 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200845,Olanzepine 250 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200876,Valcyclor 500 MG oral injection,synthetic,2025-02-01T00:00:00+00:00
200907,Dexoprofen 10 MG/ML oral injection,synthetic,2025-02-01T00:00:00+00:00
200938,Lansoprine 2.5 MG oral suspension,synthetic,2025-02-01T00:00:00+00:00
200969,Sitaglinor 5 MG oral suspension,synthetic,2025-02-01T00:00:00+00:00
